Dataset,Algorithm,min_sup,Transactions,Avg_Time_s,Avg_Memory_MB,Freq_Itemsets,Candidates,Speedup
Chess,Apriori,0.9,3196,0.8856,0.3881,622,672.0,1.0
Chess,Parallel-Vertical-Miner,0.9,3196,0.4218,11.21,622,N/A,2.1
Chess,Apriori,0.85,3196,4.4127,1.8805,2669,2817.0,1.0
Chess,Parallel-Vertical-Miner,0.85,3196,0.6838,16.9778,2669,N/A,6.45
Chess,Apriori,0.8,3196,19.2454,6.2745,8227,8557.0,1.0
Chess,Parallel-Vertical-Miner,0.8,3196,1.5839,25.9669,8227,N/A,12.15
Connect,Apriori,0.98,20000,9.6958,0.7427,1071,1115.0,1.0
Connect,Parallel-Vertical-Miner,0.98,20000,1.6688,139.0961,1071,N/A,5.81
Connect,Apriori,0.96,20000,86.0589,6.4111,8335,8430.0,1.0
Connect,Parallel-Vertical-Miner,0.96,20000,5.1494,167.5043,8335,N/A,16.71
Connect,Apriori,0.95,20000,176.0549,12.1884,15579,15639.0,1.0
Connect,Parallel-Vertical-Miner,0.95,20000,9.2032,178.2618,15579,N/A,19.13
Accident,Apriori,0.9,10000,0.2788,0.0301,39,35.0,1.0
Accident,Parallel-Vertical-Miner,0.9,10000,0.3514,20.1543,39,N/A,0.79
Accident,Apriori,0.85,10000,0.4953,0.0547,88,99.0,1.0
Accident,Parallel-Vertical-Miner,0.85,10000,0.3771,20.1543,88,N/A,1.31
Accident,Apriori,0.8,10000,0.8396,0.1184,192,198.0,1.0
Accident,Parallel-Vertical-Miner,0.8,10000,0.4272,24.9091,192,N/A,1.97
